code,label,date_update,note_update,release_current,state_current,year_current,release_next,state_next,year_next
QCL,Crops and livestock products,2025-12-31,,2025-12-31,final,2024,2026-12,final,2025
QI,Production Indices,2025-02-03,,2025-02-03,final,2023,2025-12,final,2024
QV,Value of Agricultural Production,2025-02-03,,2025-02-03,final,2023,2025-12,final,2024
FS,Suite of Food Security Indicators,2025-07-28,,2025-07-28,final,2024,2026-07,final,2025
FBS,Food Balances (2010-),2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
SCL,Supply Utilization Accounts (2010-),2025-11-01,minor revision,2025-10-28 / 2025-11-01,final,2023,2026-10,final,2024
CB,Commodity Balances (non-food) (2010-),2025-11-01,minor revision,2025-10-28 / 2025-11-01,final,2023,2026-10,final,2024
FBSH,"Food Balances (-2013, old methodology and population)",2023-03-10,minor revision,2016-12-20 / 2023-03-10,final,2013,,,
CBH,"Commodity Balances (non-food) (-2013, old methodology)",2021-12-03,minor revision,2016-12-20 / 2021-12-03,final,2013,,final,
TCL,Crops and livestock products,2025-12-23,,2025-12-23,final,2024,2026-12,final,2025
TM,Detailed trade matrix,2025-12-23,,2025-12-23,final,2024,2026-12,final,2025
TI,Trade Indices,2025-12-23,,2025-12-23,final,2024,2026-12,final,2025
TCLI,Crops and livestock products indicators,2025-12-23,,2025-12-23,final,2024,2026-12,final,2025
PP,Producer Prices,2026-01-09,,2026-01-09,final,2025,2026-12,final,2026
CP,Consumer Price Indices,2025-12-23,,2025-12-23,preliminary,2025,2026-03,preliminary,2025
PD,Deflators,2025-11-27,,2025-11-27,final,2024,2026-04,preliminary,2024
PE,Exchange rates,2025-10-13,,2025-10-13,final,2024,2026-01,final,2024
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),2025-11-01,,2025-11-01,final,2024,2025-12,final,2025
SUA,Availability (based on supply utilization accounts),2025-10-28,,2025-10-28,final,2023,2026-09,final,2024
HCES,Apparent intake (based on household consumption and expenditure surveys),2025-10-28,,2025-10-28,final,,2026-09,final,
FDIQ,Intake (based on individual quantitative dietary surveys),2025-10-28,,2025-10-28,final,,2026-09,final,
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",2025-10-28,,2025-10-28,final,,2026-09,final,
RL,Land Use,2025-11-14,minor revision,2025-10-27 / 2025-11-14,final,2023,2026-06,final,2024
LC,Land Cover,2025-06-20,,2025-06-20,final,2023,2026-06,final,2024
RFN,Fertilizers by Nutrient,2025-07-11,,2025-07-11,final,2023,2026-06,final,2024
RFB,Fertilizers by Product,2025-07-11,,2025-07-11,final,2023,2026-06,final,2024
RFM,Detailed trade matrix (fertilizers),2025-07-11,,2025-07-11,final,2023,2026-06,final,2024
EMN,Livestock Manure,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
RP,Pesticides Use,2025-07-15,,2025-07-15,final,2023,2026-06,final,2024
RT,Pesticides Trade,2025-07-15,,2025-07-15,final,2023,2026-06,final,2024
ESB,Cropland Nutrient Balance,2025-12-05,,2025-12-05,final,2023,2026-11,final,2024
EK,Livestock Patterns,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
BE,Bioenergy,2025-06-24,,2025-06-24,final,2023,2026-06,final,2024
ET,Temperature change on land,2025-03-28,,2025-03-28,final,2024,2026-03,final,2025
OA,Annual population,2024-12-31,,2024-12-31,final,2023,,final,2025
OEA,Employment Indicators: Agriculture and agrifood systems,2025-07-24,,2025-07-24,final,2024,2026-04,final,2025
OER,Employment Indicators: Rural,2025-07-24,,2025-07-24,final,2024,2026-04,final,2025
IG,Government Expenditure,2025-12-24,,2025-12-24,final,2024,2026-12,final,2025
IC,Credit to Agriculture,2026-01-07,,2026-01-07,final,2024,2026-11,final,2025
EA,Development Flows to Agriculture,2025-07-24,,2025-07-24,final,2023,2026-06,final,2024
FDI,Foreign Direct Investment (FDI),2025-02-05,,2025-02-05,final,2023,2025-11,final,2024
CISP,Country Investment Statistics Profile,2026-01-07,,2026-01-07,preliminary,2024,2026-04,preliminary,2024
MK,Macro Indicators,2025-11-27,,2025-11-27,final,2024,2026-04,preliminary,2024
CS,Capital Stock,2025-07-10,minor revision,2025-05-16 / 2025-07-10,final,2023,2025-11,final,2024
GFDI,Value shares by industry and primary factors,2024-11-19,,2024-11-19,final,2021,,final,
GT,Emissions totals,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
EM,Emissions indicators,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
EI,Emissions intensities,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
GCE,Emissions from Crops,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
GLE,Emissions from Livestock,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
GN,Emissions from Energy use in agriculture,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
GF,Emissions from Forests,2025-10-21,,2025-10-21,final,2025,2026-10,final,2025
GI,Emissions from Fires,2025-10-28,,2025-10-28,final,2024,2026-10,final,2025
GV,Emissions from Drained organic soils,2025-10-28,,2025-10-28,final,2024,2026-10,final,2025
GPP,Emissions from pre and post agricultural production,2025-10-28,,2025-10-28,final,2023,2026-10,final,2024
FO,Forestry Production and Trade,2026-01-09,minor revision,2025-12-23 / 2026-01-09,final,2024,2026-12,final,2025
FOP,"Pulp and paper capacities, survey",2025-09-24,,2025-09-24,final,2026,2026-09,final,2027
SDGB,SDG Indicators,2025-10-22,,2025-10-22,final,2024,,final,2024
WCAD,Structural data from agricultural censuses,2025-06-25,minor revision,2025-04-11 / 2025-06-25,final,2020,2026-02,final,2020
FT,Forestry Trade Flows,2022-05-27,minor revision,2019-06-19 / 2022-05-27,final,2017,,,
HS,"Indicators from Household Surveys (gender, area, socioeconomics)",2014-07-31,,2014-07-31,final,2014,,,
AF,ASTI-Researchers,2019-11-11,,2019-11-11,final,2016,,preliminary,2017
AE,ASTI-Expenditures,2019-11-11,,2019-11-11,final,2016,,preliminary,2017
FA,Food Aid Shipments (WFP),2016-12-22,,2016-12-22,preliminary,2016,,,
RM,Machinery,2021-12-03,minor revision,2011-12-22 / 2021-12-03,final,2009,,,
RY,Machinery Archive,2021-12-03,minor revision,2006-12-31 / 2021-12-03,final,2005,,,
RA,Fertilizers archive,2020-09-08,minor revision,2013-12-31 / 2020-09-08,final,2002,,,
